Gate_Int,Gate_Name,TSA_to_Gate,Gate_to_Bag
1,A8,165,292
2,A9,112,240
3,A10,52,179
4,A11,24,151
5,A13,72,85
6,A14,88,73
7,A15,100,77
8,A16,115,92
9,A17,161,138
10,A18,168,165
11,A19,140,140
12,A20,112,158
13,A21,58,215
14,A22,30,215
15,A23,38,192
16,A24,64,165
17,A25,122,109
18,A28,146,131
19,A29,102,178
20,A33,83,200
21,A34,48,234
22,A35,41,290
23,A36,59,308
24,A37,103,352
25,A38,111,360
26,A39,155,404
27,B1,373,319
28,B2,365,310
29,B3,337,282
30,B4,186,131
31,B5,140,85
32,B6,113,58
33,B7,89,51
34,B9,29,128
35,B10,29,128
36,B11,42,141
37,B12,62,161
38,B14,123,222
39,B16,148,247
40,B17,165,264
41,B18,200,266
42,B19,225,257
43,B21,245,238
44,B22,228,201
45,B24,208,182
46,B25,149,123
47,B26,134,108
48,B27,128,102
49,B28,109,83
50,B29,40,88
51,B30,128,196
52,B31,122,190
53,B32,136,204
54,B33,158,225
55,B34,169,236
56,B35,170,237
57,B36,191,258
58,B37,189,257
59,B38,190,257
60,B39,192,259
61,B40,39,120
62,B42,82,130
63,B43,96,163
64,B44,134,177
65,B46,167,216
66,B47,189,248
67,B48,213,270
68,B49,213,295
69,C2,213,111
70,C4,166,64
71,C6,116,77
72,C7,74,130
73,C8,45,126
74,C10,32,113
75,C11,35,84
76,C12,50,65
77,C14,92,78
78,C15,133,119
79,C16,137,122
80,C17,108,166
81,C19,57,184
82,C20,57,184
83,C21,14,132
84,C22,14,132
85,C24,66,86
86,C26,108,43
87,C27,117,51
88,C28,75,96
89,C29,68,103
90,C30,50,121
91,C31,35,136
92,C33,49,220
93,C35,88,259
94,C36,124,295
95,C37,166,338
96,C39,187,359
